mode,n,sparsity,iters,threads,csr,csr_total,dense
parallel,100,99,1,12,0.00349425,0.00769725,0.00626625
parallel,100,99,10,1,2.2499999999999998e-05,6.9e-05,0.00025525
parallel,100,99,10,2,5.85e-05,0.00034525,0.00038524999999999996
parallel,100,99,10,4,7.375e-05,0.00053575,0.00036574999999999997
parallel,100,99,10,6,7.625e-05,0.00071,0.00032575
parallel,100,99,10,12,8.675e-05,0.00129625,0.0003525
parallel,100,99,20,1,0.0001875,0.0003755,0.00213
parallel,100,99,20,2,0.0001535,0.000501,0.001163
parallel,100,99,20,4,0.0001315,0.0006055,0.00066475
parallel,100,99,20,6,0.000139,0.0007977500000000001,0.0006557500000000001
parallel,100,99,20,12,0.01740575,0.0220265,0.00041425
parallel,100,99,50,1,0.000216,0.00032425,0.002974
parallel,100,99,50,2,0.00035775,0.00070625,0.0028585
parallel,100,99,50,4,0.000338,0.000815,0.001755
parallel,100,99,50,6,0.00032050000000000004,0.0009165,0.001558
parallel,100,99,50,12,0.00038475,0.00148575,0.0013385
parallel,100,99,70,1,0.0005059999999999999,0.0006807499999999999,0.00687225
parallel,100,99,70,2,0.0005232500000000001,0.00089375,0.00400025
parallel,100,99,70,4,0.00048,0.00094275,0.00254625
parallel,100,99,70,6,0.00043575,0.00101875,0.00187675
parallel,100,99,70,12,0.0005434999999999999,0.00162325,0.0020912500000000002
parallel,1000,0,1,1,0.0020875,0.00981325,0.0018355
parallel,1000,0,1,2,0.0011665,0.0053665,0.00097425
parallel,1000,0,1,4,0.00055675,0.0027452500000000003,0.00048375
parallel,1000,0,1,6,0.000392,0.00200875,0.00032725
parallel,1000,0,1,12,0.0003525,0.00185375,0.0003065
parallel,1000,0,10,1,0.02038175,0.0279455,0.018541
parallel,1000,0,10,2,0.0106405,0.01472825,0.00941475
parallel,1000,0,10,4,0.0053595,0.00757475,0.004725
parallel,1000,0,10,6,0.00362225,0.00517425,0.003179
parallel,1000,0,10,12,0.00348525,0.00497125,0.00304025
parallel,1000,0,20,1,0.03959575,0.04705025,0.035624
parallel,1000,0,20,2,0.02070625,0.024761000000000002,0.0183415
parallel,1000,0,20,4,0.01080875,0.012982,0.009621
parallel,1000,0,20,6,0.0071835,0.00871025,0.00633575
parallel,1000,0,20,12,0.0069585,0.00845625,0.00602975
parallel,1000,0,50,1,0.098983,0.1063755,0.0887215
parallel,1000,0,50,2,0.05259075,0.05680425,0.046149499999999996
parallel,1000,0,50,4,0.02657075,0.02871825,0.02352
parallel,1000,0,50,6,0.0250435,0.027020000000000002,0.017447999999999998
parallel,1000,0,50,12,0.0174035,0.018985000000000002,0.01506125
parallel,1000,0,70,1,0.13879075,0.14634675,0.12382649999999999
parallel,1000,0,70,2,0.0737505,0.07777125,0.06457325
parallel,1000,0,70,4,0.03718275,0.0394035,0.032805749999999995
parallel,1000,0,70,6,0.02487475,0.0264645,0.022094
parallel,1000,0,70,12,0.029715,0.03454425,0.021062749999999998
parallel,1000,30,1,1,0.001446,0.01270225,0.00180575
parallel,1000,30,1,2,0.0007527500000000001,0.00678025,0.00094925
parallel,1000,30,1,4,0.00039,0.00350575,0.000482
parallel,1000,30,1,6,0.00032575,0.0027087500000000002,0.000385
parallel,1000,30,1,12,0.00025225,0.001974,0.0003075
parallel,1000,30,10,1,0.014289,0.02574375,0.01813625
parallel,1000,30,10,2,0.00739625,0.013434749999999999,0.00941
parallel,1000,30,10,4,0.00375625,0.006905,0.004719
parallel,1000,30,10,6,0.00302425,0.0054,0.00376925
parallel,1000,30,10,12,0.00244575,0.0041735,0.0030205
parallel,1000,30,20,1,0.02779225,0.0389235,0.03546375
parallel,1000,30,20,2,0.015551249999999999,0.02163525,0.018789
parallel,1000,30,20,4,0.007475,0.01060725,0.009402
parallel,1000,30,20,6,0.0050030000000000005,0.00720125,0.00634875
parallel,1000,30,20,12,0.0048684999999999996,0.0066145,0.00603925
parallel,1000,30,50,1,0.0697855,0.08116775,0.0890285
parallel,1000,30,50,2,0.03657875,0.04255575,0.04581425
parallel,1000,30,50,4,0.018664,0.0218045,0.02350275
parallel,1000,30,50,6,0.012479,0.014702,0.01576425
parallel,1000,30,50,12,0.0123035,0.014054500000000001,0.017813
parallel,1000,30,70,1,0.09695975,0.1080785,0.12354224999999999
parallel,1000,30,70,2,0.05007225,0.05605425,0.06331875000000001
parallel,1000,30,70,4,0.026055250000000002,0.029208249999999998,0.03353125
parallel,1000,30,70,6,0.017507,0.01973125,0.022093
parallel,1000,30,70,12,0.01701625,0.018752500000000002,0.0210495
parallel,1000,50,1,1,0.00107925,0.01475925,0.00189575
parallel,1000,50,1,2,0.0005387500000000001,0.00758775,0.0009545
parallel,1000,50,1,4,0.000276,0.003933,0.000481
parallel,1000,50,1,6,0.00018625,0.0027212499999999997,0.00031999999999999997
parallel,1000,50,1,12,0.000178,0.0019832499999999998,0.0003035
parallel,1000,50,10,1,0.0107025,0.02461125,0.018281
parallel,1000,50,10,2,0.00524025,0.012276249999999999,0.009303
parallel,1000,50,10,4,0.00268075,0.0063375,0.004713
parallel,1000,50,10,6,0.00179925,0.0043255,0.003159
parallel,1000,50,10,12,0.00177575,0.00358225,0.003066
parallel,1000,50,20,1,0.020233,0.03372925,0.03693325
parallel,1000,50,20,2,0.010494999999999999,0.0175915,0.018467
parallel,1000,50,20,4,0.00536125,0.00903775,0.0094015
parallel,1000,50,20,6,0.00360125,0.00614,0.00632675
parallel,1000,50,20,12,0.0035275,0.00536875,0.0060435
parallel,1000,50,50,1,0.05036625,0.06373925,0.0877815
parallel,1000,50,50,2,0.02585375,0.03294125,0.04640275
parallel,1000,50,50,4,0.013388,0.01705025,0.0235065
parallel,1000,50,50,6,0.0107785,0.013454250000000001,0.01875825
parallel,1000,50,50,12,0.0087035,0.01053225,0.01531125
parallel,1000,50,70,1,0.070925,0.0842155,0.1239575
parallel,1000,50,70,2,0.0366375,0.04371275,0.06411825
parallel,1000,50,70,4,0.018713,0.022379,0.033347
